"Author","Article","weight"
"1321770","1451616",1
"1321772","1451618",1
"1321789","1451646",1
"1321854","1451757",1
"1321855","1451758",1
"1321855","1644451",1
"1321902","1718136",1
"1321908","1580330",1
"1321922","1457160",1
"1321923","1451864",1
"1321933","1456716",1
"1321935","1451884",1
"1321936","1451885",1
"1321948","1450445",1
"1321954","1451910",1
"1322001","1580416",1
"1322005","1451983",1
"1322032","1452036",1
"1322034","1452038",1
"1322035","1452040",1
"1322036","1452043",1
"1322039","1452047",1
"1322039","1701863",1
"1322054","1452074",1
"1322071","1642828",1
"1322147","1452237",1
"1322154","1452250",1
"1322155","1452253",1
"1322169","1641521",1
"1322207","1642578",1
"1322578","1452775",1
"1323550","1486390",1
"1323756","1456372",3
"1324082","1450575",1
"1324082","1451611",1
"1324167","1456753",1
"1324167","1456757",1
"1324167","1456760",1
"1324357","1452026",1
"1324454","1449449",1
"1324687","1450568",1
"1324697","1450568",1
"1324697","1644255",1
"1325132","1449323",1
"1325132","1449358",1
"1325145","1451360",1
"1325273","1450453",1
"1325273","1643889",1
"1325273","1659785",1
"1325365","1458099",1
"1325525","1458279",1
"1325634","1551865",1
"1325998","1458826",1
"1325999","1458827",1
"1326000","1458827",1
"1327301","1644597",1
"1328633","1594870",1
"1328932","1449056",1
"1328961","1450246",1
"1330557","1544616",1
"1330824","1490243",1
"1330824","1490247",1
"1330824","1527027",1
"1330824","1527839",1
"1330843","1450454",1
"1330920","1555966",1
"1331723","1543992",1
"1331747","1543991",1
"1331953","1450457",1
"1332266","1449319",1
"1332269","1451611",1
"1332312","1452389",1
"1332361","1450454",1
"1332521","1715227",1
"1333448","1467331",1
"1334357","1468452",1
"1334515","1468651",1
"1334517","1468655",1
"1334519","1468657",1
"1334526","1450466",1
"1334527","1450466",1
"1334619","1468777",1
"1334769","1641978",1
"1335655","1469619",1
"1336091","1449304",1
"1336131","1470175",1
"1336632","1682632",1
"1336632","1682636",1
"1337044","1674247",1
"1338676","1232662",2
"1338676","1472552",1
"1338677","1472552",1
